Time,Instrument,Gain
00:59.995,instruments/hide_3-25b_soft.wav,0.2
01:00.3,instruments/hide_3-29b_soft.wav,0.2
01:00.6,instruments/double-bass_E2_05_mezzo-piano_arco-normal.wav,0.2
01:00.796,instruments/hide_3-24_soft.wav,0.2
01:00.801,instruments/hide_3-28_soft.wav,0.2
01:00.807,instruments/double-bass_E2_05_mezzo-piano_arco-normal.wav,0.2
01:01.596,instruments/double-bass_E2_05_mezzo-piano_arco-normal.wav,0.2
01:01.601,instruments/hide_3-24b_soft.wav,0.2
01:01.607,instruments/hide_3-28b_soft.wav,0.2
01:02.391,instruments/hide_3-29_soft.wav,0.2
01:02.402,instruments/double-bass_E2_05_mezzo-piano_arco-normal.wav,0.2
01:02.408,instruments/hide_3-25_soft.wav,0.2
01:03.192,instruments/hide_3-25b_soft.wav,0.2
01:03.198,instruments/hide_3-29b_soft.wav,0.2
01:03.209,instruments/double-bass_E2_05_mezzo-piano_arco-normal.wav,0.2
01:03.991,instruments/hide_3-24_soft.wav,0.2
01:03.999,instruments/hide_3-28_soft.wav,0.2
01:04.8,instruments/double-bass_E2_05_mezzo-piano_arco-normal.wav,0.2
01:04.792,instruments/double-bass_E2_05_mezzo-piano_arco-normal.wav,0.2
01:04.797,instruments/hide_3-24b_soft.wav,0.2
01:04.804,instruments/hide_3-28b_soft.wav,0.2
01:05.594,instruments/hide_3-29_soft.wav,0.2
01:05.598,instruments/double-bass_E2_05_mezzo-piano_arco-normal.wav,0.2
01:05.603,instruments/hide_3-25_soft.wav,0.2
01:06.393,instruments/hide_3-25b_soft.wav,0.2
01:06.400,instruments/hide_3-29b_soft.wav,0.2
01:06.404,instruments/double-bass_E2_05_mezzo-piano_arco-normal.wav,0.2
01:07.194,instruments/hide_3-24_soft.wav,0.2
01:07.200,instruments/hide_3-28_soft.wav,0.2
01:07.200,instruments/double-bass_A1_05_mezzo-piano_arco-normal.wav,0.2
01:07.209,instruments/double-bass_A1_025_forte_arco-normal.wav,0.2
01:07.591,instruments/double-bass_A1_025_forte_arco-normal.wav,0.2
01:07.605,instruments/hide_3-30.wav,0.30000000000000004
01:07.998,instruments/double-bass_A1_025_forte_arco-normal.wav,0.2
01:08.0,instruments/hide_3-24b_soft.wav,0.2
01:08.5,instruments/hide_3-28b_soft.wav,0.2
01:08.7,instruments/double-bass_A1_05_mezzo-piano_arco-normal.wav,0.2
01:08.394,instruments/hide_3-30b.wav,0.30000000000000004
01:08.403,instruments/double-bass_A1_025_forte_arco-normal.wav,0.2
01:08.793,instruments/double-bass_A1_025_forte_arco-normal.wav,0.2
01:08.795,instruments/hide_3-29_soft.wav,0.2
01:08.797,instruments/double-bass_A1_05_mezzo-piano_arco-normal.wav,0.2
01:08.806,instruments/hide_3-25_soft.wav,0.2
01:09.200,instruments/double-bass_A1_025_forte_arco-normal.wav,0.2
01:09.596,instruments/hide_3-25b_soft.wav,0.2
01:09.601,instruments/hide_3-29b_soft.wav,0.2
01:09.602,instruments/double-bass_A1_05_mezzo-piano_arco-normal.wav,0.2
01:09.606,instruments/double-bass_A1_025_forte_arco-normal.wav,0.2
01:09.995,instruments/double-bass_A1_025_forte_arco-normal.wav,0.2
01:10.395,instruments/double-bass_Fs2_025_forte_arco-normal.wav,0.26
01:10.401,instruments/hide_3-24_soft.wav,0.2
01:10.402,instruments/hide_3-28_soft.wav,0.2
01:10.409,instruments/double-bass_Fs2_05_piano_arco-normal.wav,0.2
01:10.796,instruments/hide_3-30.wav,0.30000000000000004
01:10.800,instruments/double-bass_Fs2_025_forte_arco-normal.wav,0.26
01:11.193,instruments/double-bass_Fs2_05_piano_arco-normal.wav,0.2
01:11.207,instruments/double-bass_Fs2_025_forte_arco-normal.wav,0.26
01:11.208,instruments/hide_3-28b_soft.wav,0.2
01:11.208,instruments/hide_3-24b_soft.wav,0.2
01:11.597,instruments/double-bass_Fs2_025_forte_arco-normal.wav,0.26
01:11.602,instruments/hide_3-30b.wav,0.30000000000000004
01:11.992,instruments/hide_3-29_soft.wav,0.2
01:11.992,instruments/hide_3-25_soft.wav,0.2
01:11.999,instruments/double-bass_Fs2_05_piano_arco-normal.wav,0.2
01:12.3,instruments/double-bass_Fs2_025_forte_arco-normal.wav,0.26
01:12.409,instruments/double-bass_Fs2_025_forte_arco-normal.wav,0.26
01:12.791,instruments/double-bass_Fs2_025_forte_arco-normal.wav,0.26
01:12.798,instruments/hide_3-25b_soft.wav,0.2
01:12.799,instruments/hide_3-29b_soft.wav,0.2
01:12.805,instruments/double-bass_Fs2_05_piano_arco-normal.wav,0.2
01:13.197,instruments/double-bass_Fs2_025_forte_arco-normal.wav,0.26
01:13.592,instruments/double-bass_E3_05_mezzo-piano_arco-normal.wav,0.14
01:13.600,instruments/double-bass_E3_025_forte_arco-normal.wav,0.26
01:13.603,instruments/hide_3-24_soft.wav,0.2
01:13.604,instruments/hide_3-28_soft.wav,0.2
01:13.998,instruments/hide_3-30.wav,0.30000000000000004
01:14.7,instruments/double-bass_E3_025_forte_arco-normal.wav,0.26
01:14.393,instruments/hide_3-24b_soft.wav,0.2
01:14.394,instruments/hide_3-28b_soft.wav,0.2
01:14.397,instruments/double-bass_E3_025_forte_arco-normal.wav,0.26
01:14.399,instruments/double-bass_E3_05_mezzo-piano_arco-normal.wav,0.14
01:14.802,instruments/double-bass_E3_025_forte_arco-normal.wav,0.26
01:14.804,instruments/hide_3-30b.wav,0.30000000000000004
01:15.199,instruments/hide_3-25_soft.wav,0.2
01:15.200,instruments/hide_3-29_soft.wav,0.2
01:15.204,instruments/double-bass_E3_05_mezzo-piano_arco-normal.wav,0.14
01:15.209,instruments/double-bass_E3_025_forte_arco-normal.wav,0.26
01:15.591,instruments/double-bass_E3_025_forte_arco-normal.wav,0.26
01:15.594,instruments/hide_3-32.wav,0.30000000000000004
01:15.994,instruments/double-bass_E3_05_mezzo-piano_arco-normal.wav,0.14
01:15.998,instruments/double-bass_E3_025_forte_arco-normal.wav,0.26
01:16.5,instruments/hide_3-25b_soft.wav,0.2
01:16.6,instruments/hide_3-29b_soft.wav,0.2
01:16.400,instruments/hide_3-32b.wav,0.30000000000000004
01:16.403,instruments/double-bass_E3_025_forte_arco-normal.wav,0.26
01:16.793,instruments/hide_3-24_soft.wav,0.2
01:16.795,instruments/hide_3-28_soft.wav,0.2
01:16.797,instruments/double-bass_Fs3_05_mezzo-piano_arco-normal.wav,0.14
01:16.798,instruments/double-bass_Fs3_025_forte_arco-normal.wav,0.26
01:16.999,instruments/hide_3-37b.wav,0.35000000000000003
01:17.203,instruments/double-bass_Fs3_025_forte_arco-normal.wav,0.26
01:17.204,instruments/hide_3-30.wav,0.30000000000000004
01:17.206,instruments/hide_3-33.wav,0.30000000000000004
